,f18_KOI_int,dr25_kepid,prot,Prot_adopted,prot_numflag,a18_period,m13_Prot,m15_Prot,w13_Per
1283,2300,10583761,29.23,a18,3.0,29.23,28.69,28.8,13.88
1291,2339,7033233,18.19,m15,3.0,,18.06,18.19,17.84
1293,2352,8013439,10.24,a18,2.0,10.24,,,
1298,2358,5716932,5.88,m15,2.0,6.15,5.83,5.88,
1301,2366,11342416,9.39,a18,2.0,9.39,,8.76,
1314,2398,6199056,1.54,a18,2.0,1.54,1.34,2.67,
1315,2399,11461433,27.91,a18,2.0,27.91,27.78,28.03,24.96
1316,2403,2142522,10.54,a18,2.0,10.54,10.38,10.35,
1317,2407,12120484,14.73,a18,2.0,14.73,,14.15,
1340,2469,6149910,37.31,a18,2.0,37.31,36.82,36.61,16.66
1342,2473,8753896,27.56,m15,3.0,,28.05,27.56,13.88
1354,2517,8947520,20.24,a18,3.0,20.24,20.18,20.14,19.72
1357,2522,9177629,38.53,a18,3.0,38.53,38.04,37.9,37.4
1358,2529,8463346,16.0,m15,3.0,,16.0,16.0,15.62
1369,2545,9696358,17.02,a18,3.0,17.02,16.71,17.12,
1371,2555,5350244,9.0,a18,3.0,9.0,8.8,8.8,10.13
1375,2563,5175024,12.39,a18,2.0,12.39,,12.13,
1378,2571,6867588,30.99,a18,2.0,30.99,33.67,33.67,28.25
1379,2581,11818872,28.86,a18,3.0,28.86,29.91,29.95,14.99
1385,2590,12016267,10.87,a18,3.0,10.87,,10.84,
1387,2593,8212002,8.76,a18,3.0,8.76,8.67,8.62,8.96
1394,2607,5095635,16.02,a18,3.0,16.02,15.94,15.95,
1398,2623,10916600,12.47,a18,3.0,12.47,12.26,12.28,
1401,2632,11337566,11.13,a18,3.0,11.13,11.06,10.98,
1402,2635,4914566,12.71,a18,2.0,12.71,,12.59,
1403,2636,6198182,16.55,a18,3.0,16.55,16.23,16.09,18.28
1409,2668,5513012,22.55,a18,3.0,22.55,21.92,22.02,
1410,2672,11253827,13.31,a18,3.0,13.31,13.27,13.23,13.39
1415,2675,5794570,6.13,a18,3.0,6.13,6.0,6.01,5.99
1419,2678,6779260,6.21,a18,3.0,6.21,6.14,6.18,6.16
1420,2686,7826659,22.46,a18,3.0,22.46,22.06,22.15,24.16
1421,2687,7202957,14.44,a18,3.0,14.44,14.22,14.38,15.3
1423,2690,5369827,12.57,a18,3.0,12.57,12.36,12.28,
1424,2694,9475552,38.16,a18,3.0,38.16,37.7,37.78,40.42
1427,2706,9697131,6.74,a18,3.0,6.74,6.27,6.24,6.53
1434,2722,7673192,9.13,a18,2.0,9.13,8.96,9.01,10.27
1441,2732,9886361,20.8,a18,2.0,20.8,,21.18,
1448,2743,8095441,25.33,a18,3.0,25.33,23.97,23.95,
1453,2754,10905911,23.9,a18,3.0,23.9,,22.58,
1457,2762,8210018,45.65,m15,2.0,,44.55,45.65,
1461,2768,9008737,23.52,a18,3.0,23.52,22.96,22.93,20.81
1466,2785,10001368,23.51,a18,2.0,23.51,,11.37,
1467,2786,9466429,21.19,a18,2.0,21.19,,,
1468,2792,11127479,17.4,a18,3.0,17.4,,16.59,
1471,2803,9898447,8.98,a18,2.0,8.98,16.93,16.84,
1475,2828,6436029,25.03,m15,3.0,,25.34,25.03,24.55
1477,2829,6197215,23.32,a18,2.0,23.32,,24.06,7.97
1479,2832,9995402,39.29,a18,3.0,39.29,37.09,37.2,42.72
1480,2833,9109857,12.35,a18,2.0,12.35,,0.28,
1486,2848,7749773,22.67,m15,2.0,41.6,23.0,22.67,
1487,2857,6345732,8.2,a18,3.0,8.2,,7.91,
1489,2859,10397751,25.78,m15,2.0,16.73,,25.78,
1500,2904,3969687,28.35,a18,3.0,28.35,,29.66,
1504,2915,5613821,34.78,a18,2.0,34.78,,28.18,
1506,2925,6974658,30.45,m15,2.0,12.04,,30.45,25.38
1507,2926,10122538,23.84,m15,3.0,,23.91,23.84,
1511,2931,8611257,31.15,a18,2.0,31.15,31.32,31.77,
1512,2943,9838468,26.33,a18,2.0,26.33,,25.38,
1517,2961,10471515,11.99,a18,3.0,11.99,11.87,11.81,
1520,2970,5450893,9.45,a18,3.0,9.45,,9.19,
1521,2971,4770174,5.78,a18,3.0,5.78,5.51,5.56,
1524,2977,11090556,20.0,a18,2.0,20.0,,79.46,
1527,2984,7918652,12.85,a18,2.0,12.85,,42.75,
1529,3009,12405333,13.69,a18,3.0,13.69,,13.51,6.73
1538,3052,8827575,26.9,a18,3.0,26.9,27.82,27.75,28.79
1542,3060,11019987,13.17,a18,3.0,13.17,13.13,13.18,
1543,3065,5040077,15.54,a18,3.0,15.54,15.03,15.22,
1545,3083,7106173,21.47,a18,3.0,21.47,21.22,21.23,
1551,3093,5096590,22.28,a18,2.0,22.28,22.06,10.93,
1553,3097,7582689,16.16,a18,2.0,16.16,,17.58,
1557,3109,11572193,5.89,a18,3.0,5.89,5.46,5.6,
1558,3111,8581240,17.39,a18,2.0,17.39,,17.49,
1560,3114,9288237,12.08,a18,3.0,12.08,,,
1561,3117,6523351,23.72,a18,3.0,23.72,23.94,23.82,17.03
1562,3122,12416661,11.61,a18,3.0,11.61,,11.2,
1563,3125,8751796,6.49,a18,3.0,6.49,,6.54,
1565,3130,10252275,28.08,a18,3.0,28.08,27.02,27.38,30.55
1569,3165,9579208,5.5,a18,3.0,5.5,,5.29,
1573,3184,4735826,19.53,a18,2.0,19.53,,,
1575,3194,12004971,10.79,a18,3.0,10.79,,10.77,
1579,3197,8443527,7.23,a18,3.0,7.23,,,
1585,3220,11189311,5.38,a18,3.0,5.38,,5.12,
1586,3224,10384298,22.7,a18,3.0,22.7,,22.5,
1587,3225,3109550,29.12,m15,3.0,13.05,,29.12,
1589,3232,9569711,13.53,a18,3.0,13.53,,13.33,
1591,3234,10057494,4.89,a18,3.0,4.89,,3.73,
1592,3236,7902003,5.31,a18,3.0,5.31,,5.07,
1593,3237,6587796,10.97,m15,3.0,12.98,,10.97,
1597,3245,8073705,22.33,a18,3.0,22.33,,20.51,
1598,3246,9885417,19.43,a18,3.0,19.43,,19.66,
1603,3277,3120904,16.13,m15,2.0,24.55,,16.13,
1606,3283,9008103,12.69,d20,3.0,,,,
1608,3287,6584273,17.38,a18,2.0,17.38,,22.78,
1609,3288,5768816,16.37,a18,3.0,16.37,,16.17,
1611,3308,3632089,31.1,a18,2.0,31.1,,26.74,
1613,3310,12253769,28.52,m15,3.0,,,28.52,
1617,3340,3529290,12.52,a18,2.0,12.52,,12.27,
1620,3358,4263529,15.74,a18,3.0,15.74,,,
1633,3425,9117416,15.86,a18,2.0,15.86,,,
1635,3436,6265665,14.68,a18,3.0,14.68,,14.7,
1637,3451,10793576,13.01,a18,2.0,13.01,,7.7,
1638,3456,6364582,21.59,a18,2.0,21.59,,27.34,
1640,3465,9763612,11.13,a18,3.0,11.13,,11.38,
1641,3473,8905246,7.84,a18,3.0,7.84,,,
1642,3497,8424002,9.33,a18,3.0,9.33,,9.43,
1651,3663,12735740,23.77,a18,2.0,23.77,,22.66,
1660,3791,5437945,18.6,a18,2.0,18.6,,17.93,
1664,3823,4820550,14.52,a18,3.0,14.52,,14.42,
1665,3835,2581554,7.88,a18,3.0,7.88,,7.87,
1667,3864,4164922,9.67,a18,3.0,9.67,,9.56,
1671,3876,3440118,4.73,a18,3.0,4.73,,4.7,
1676,3892,11760860,23.37,a18,2.0,23.37,,29.05,
1677,3907,7137213,2.17,a18,3.0,2.17,,2.14,
1679,3913,10281221,25.36,a18,2.0,25.36,,29.62,
1680,3925,10788461,17.0,m15,3.0,,,17.0,
1683,3928,4242692,20.81,a18,3.0,20.81,,,
