,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
1529,2372,12254909,Kepler-1213,m,,19.57,35.45,17.53,,,K02372,5941,60,60,-0.08,0.04,0.04,11.988,0.023,1.262,0.013,1.437,0.036,0.035,1.019,0.027,0.025,1.427,0.017,0.016,0.35,0.02,0.02,9.9,0.04,0.05,1.329,0.156,0.186,1,,2372
1530,2373,10798331,,m,,,50.21,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2374,9364290,Kepler-382,m,,41.40,75.73,24.69,,,K02374,5720,60,60,0.13,0.04,0.04,12.89,0.03,1.094,0.023,1.146,0.038,0.037,1.002,0.033,0.031,1.104,0.024,0.023,0.74,0.06,0.06,9.85,0.1,0.12,1.108,0.097,0.129,1,,2374
1532,2376,11701407,Kepler-1214,b,m15,,36.02,17.30,36.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,2377,5906426,,a,m15,,23.78,25.05,23.80,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,2378,10813132,Kepler-1215,a,m15,,23.74,24.99,23.61,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,2380,3002478,,m,,,35.84,21.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,2383,9395024,Kepler-1216,m,,,30.74,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,2386,4172013,,b,m15,,8.01,7.74,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2387,12254378,Kepler-1217,m,,,40.50,11.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
